"asset_id","asset_name","category","type","mission","scene_location","description","color_palette_hex","lighting_mood","lod_notes","file_path","source_pack","owner_dept","status"
"ENV-LANE-001","Stone Cottage A","Environment","Building Prop","M1","Village Lane at Dusk","Re-tinted stone cottage lining the lane; warm ochre walls, thatch roof, autumn ivy on near wall","#9A9187 / #C9912E / #6B4A2B","Dusk warm wayfinding (sun #FFC68A int 1.4)","LOD0 ~4k tris, LOD1 50%, LOD2 impostor card beyond 40m; GPU-instanced","Assets/_Project/Art/Environment/Lane/Cottage_StoneA.prefab","Medieval Village Megapack","Environment","Locked"
"ENV-LANE-002","Stone Cottage B","Environment","Building Prop","M1","Village Lane at Dusk","Second stone cottage variant; same retint family, doubles as the cottage shell reused in M2","#9A9187 / #C9912E / #6B4A2B","Dusk warm wayfinding","LOD0/LOD1/LOD2 impostor; static-batched","Assets/_Project/Art/Environment/Lane/Cottage_StoneB.prefab","Medieval Village Megapack","Environment","Locked"
"ENV-LANE-003","Bakery (Doris's shop exterior)","Environment","Hero Building","M1","Village Lane at Dusk","Re-tinted Shop_Inn used as the wood bakery; two warm-glow windows are the first visual destination the player sees","#E8843C / #6B4A2B / #FFE0A0","Dusk warm wayfinding; windows glow ahead","LOD0 hero ~6k tris, LOD1; no impostor (always near)","Assets/_Project/Art/Environment/Lane/Shop_BakerVariant.prefab","Medieval Village Megapack","Environment","Locked"
"ENV-LANE-004","Stone Wall Section 2m","Environment","Modular Prop","M1","Village Lane at Dusk","14 sections form the linear bottleneck walls of the lane; dressed with Zephyr-animated autumn ivy","#9A9187 / #7A5C3E","Dusk; under-lit at spawn, brighter toward bakery","LOD0/LOD1 only; instanced; ivy is separate alpha card","Assets/_Project/Art/Environment/Lane/StoneWall_Section_2m.prefab","Medieval Village Megapack","Environment","Locked"
"ENV-LANE-005","Wooden Fence 3-plank","Environment","Modular Prop","M1","Village Lane at Dusk","6 sections of weathered plank fence between cottages","#6B4A2B / #4A3220","Dusk warm","LOD0/LOD1; instanced","Assets/_Project/Art/Environment/Lane/Wood_3plank_section.prefab","Medieval Village Megapack","Environment","Locked"
"ENV-LANE-006","Lamp Post (Tall)","Environment","Light Prop","M1","Village Lane at Dusk","2 tall lamp posts; the lit one at the lane's bend is the lighting designer's wayfinding anchor","#4A3220 / #FFE0A0","Lit lantern halo anchor","LOD0 only (small); lamp glow is Lumen mesh not realtime","Assets/_Project/Art/Environment/Lane/LampPost_Tall.prefab","Medieval Village Megapack","Environment","Locked"
"ENV-LANE-007","Rural Bench","Environment","Prop","M1","Village Lane at Dusk","Plain bench at the 40m mark where the silent villager sits reading a letter","#6B4A2B","Dusk warm","LOD0 only; static","Assets/_Project/Art/Environment/Lane/Bench_Plain.prefab","Medieval Village Megapack","Environment","Locked"
"ENV-LANE-008","Autumn Oak","Environment","Vegetation","M1","Village Lane at Dusk","5 oaks with autumn canopy; Zephyr wind animates leaf-fall and god-ray gaps","#B5482E / #C9912E / #6B4A2B","Dusk; god rays through tree gaps","LOD0/LOD1/LOD2 billboard; wind in LOD0-1 only","Assets/_Project/Art/Environment/Lane/Oak_Autumn.prefab","Medieval Village Megapack","Environment","Locked"
"ENV-LANE-009","Autumn Birch","Environment","Vegetation","M1","Village Lane at Dusk","3 birches with golden foliage for variety along the lane","#F2B45A / #F4E7CE","Dusk warm","LOD0/LOD1/LOD2 billboard","Assets/_Project/Art/Environment/Lane/Birch_Autumn.prefab","Medieval Village Megapack","Environment","Locked"
"ENV-LANE-010","Mid-density Bush","Environment","Vegetation","M1","Village Lane at Dusk","12 bushes softening wall bases and path edges","#7E8C5A / #B5482E","Dusk warm","LOD0/LOD1; cross-fade cull at 30m","Assets/_Project/Art/Environment/Lane/Bush_Medium.prefab","Medieval Village Megapack","Environment","Locked"
"ENV-LANE-011","Round Hay Bale","Environment","Prop","M1","Village Lane at Dusk","2 loose hay bales as rural dressing","#C9912E / #F2B45A","Dusk warm","LOD0/LOD1; instanced","Assets/_Project/Art/Environment/Lane/HayBale_Round.prefab","Medieval Village Megapack","Environment","Locked"
"ENV-LANE-012","Parked Wooden Cart","Environment","Prop","M1","Village Lane at Dusk","1 parked, unused cart adding lived-in texture","#6B4A2B / #4A3220","Dusk warm","LOD0/LOD1","Assets/_Project/Art/Environment/Lane/Cart_Wooden.prefab","Medieval Village Megapack","Environment","Locked"
"ENV-LANE-013","Cobblestone Road Tile","Environment","Modular Floor","M1","Village Lane at Dusk","~25 cobble tiles at the lane start; surface drives footstep foley swap","#9A9187 / #7A5C3E","Dusk warm","Single LOD; Microdetail Terrain close-range detail; static-batched","Assets/_Project/Art/Environment/Lane/CobbleStone_1x1.prefab","Medieval Village Megapack + Microdetail Terrain","Environment","Locked"
"ENV-LANE-014","Dirt Path Tile","Environment","Modular Floor","M1","Village Lane at Dusk","~30 dirt tiles mid-lane; transitions cobble->dirt->wood foley","#7A5C3E / #6B4A2B","Dusk warm","Single LOD; Microdetail moss/dirt detail map","Assets/_Project/Art/Environment/Lane/DirtPath_1x1.prefab","Medieval Village Megapack + Microdetail Terrain","Environment","Locked"
"ENV-LANE-015","Autumn Ivy (animated)","Environment","Foliage Decal","M1","Village Lane at Dusk","Zephyr vertex-animated ivy dressing both lane walls","#7E8C5A / #B5482E","Dusk warm","Alpha-card; LOD0/LOD1; wind cull at distance","Assets/_Project/Art/Environment/Lane/Ivy_Autumn_Animated.prefab","Zephyr Dynamic Wind","Environment","Locked"
"ENV-LANE-016","Dormant Beehive (Easter egg)","Environment","Narrative Prop","M1","Bakery back garden (detour)","Hidden hive seeding the Mission 3+ Wedding-Honey arc; varnish faded two summers; one slow bee anim","#C9912E / #6B4A2B","Extra-warm god-ray on detour","LOD0 only; bee is tiny particle/anim","Assets/_Project/Art/Environment/Lane/Beehive_Dormant.prefab","Custom + Medieval Village","Environment","In Progress"
"ENV-LANE-017","Forge Path Closed Sign","Environment","Narrative Prop","M1","Lane far end (wall)","Low stone wall + hand-painted sign implying expandability without forcing it","#6B4A2B / #F4E7CE","Dusk warm","LOD0 only","Assets/_Project/Art/Environment/Lane/Sign_ForgePathClosed.prefab","Custom + Medieval Village","Environment","In Progress"
"ENV-HOL-001","Shop Counter","Environment","Functional Prop","M1","Hollow Interior - Shop Room","The counter the player enters behind; on Day 2 the cloth-wrapped orb sits here","#6B4A2B / #F4E7CE","Dim cozy interior 3200K","LOD0 only (interior hero); lightmap-static","Assets/_Project/Art/Environment/Hollow/Counter_Shop.prefab","Medieval Village Megapack","Environment","Locked"
"ENV-HOL-002","Orb Shelf Unit","Environment","Functional Prop","M1","Hollow Interior - Shop Room","3 shelves; capacity 6 orbs in M1, 12 in M2 after one rearrangement; custom orb cradles","#6B4A2B / #FFE0A0","Dim cozy; candle glow per shelf","LOD0 only; orb slots are sockets","Assets/_Project/Art/Environment/Hollow/OrbShelf_Unit.prefab","Custom + Medieval Village","Environment","Locked"
"ENV-HOL-003","Wood Stove","Environment","Hero Prop","M1","Hollow Interior - Shop Room","The warmest object in the shop; Lumen Candle_Warm inside + one realtime point light; permanent simmer","#FF9650 / #E8843C","Stove glow = warmest interior anchor","LOD0 only; flame is particle + Lumen mesh","Assets/_Project/Art/Environment/Hollow/Stove_Wood.prefab","Medieval Village Megapack","Environment","Locked"
"ENV-HOL-004","Reading Chairs (x2)","Environment","Prop","M1","Hollow Interior - Shop Room","Two chairs by the window; one holds the predecessor's open folklore book","#6B4A2B / #7A5C3E","Dim cozy interior","LOD0 only","Assets/_Project/Art/Environment/Hollow/Chair_Reading.prefab","Medieval Village Megapack","Environment","Locked"
"ENV-HOL-005","Pickle's Windowsill","Environment","Set Piece","M1","Hollow Interior - Shop Room","Always-lit windowsill where Pickle is always visible; faint baked highlight","#FFE0A0 / #BFD0DA","Faint baked highlight (always lit)","LOD0 only","Assets/_Project/Art/Environment/Hollow/Windowsill_Pickle.prefab","Custom + Medieval Village","Environment","Locked"
"ENV-HOL-006","Workbench","Environment","Hero Functional Prop","M1","Hollow Interior - Workbench Room","Where Polish/Cleanse happen; holds orb cradle, tools, desk lamp","#6B4A2B / #FFE0A0","Desk-lamp pool #FFE0A0 (realtime point)","LOD0 only (gameplay hero)","Assets/_Project/Art/Environment/Hollow/Workbench.prefab","Custom + Medieval Village","Environment","Locked"
"ENV-HOL-007","Orb Cradle","Environment","Functional Prop","M1","Hollow Interior - Workbench Room","The cradle that holds the orb during mini-games","#7A5C3E / #FFE0A0","Desk-lamp warm","LOD0 only; socket for orb","Assets/_Project/Art/Environment/Hollow/OrbCradle.prefab","Custom","Environment","Locked"
"ENV-HOL-008","Tea Cabinet","Environment","Functional Prop","M1","Hollow Interior - Workbench Room","Holds the permanently-warm teapot; tells the player tea is always available","#6B4A2B / #C9912E","Dim cozy interior","LOD0 only","Assets/_Project/Art/Environment/Hollow/TeaCabinet.prefab","Harvest Garden","Environment","Locked"
"ENV-HOL-009","Kettle on Stove","Environment","Prop","M1","Hollow Interior - Workbench Room","Single steam wisp (VoluSmokeFX); the kettle orb references its sound","#9A9187 / #FFE0A0","Stove warm","LOD0 only; steam is VFX","Assets/_Project/Art/Environment/Hollow/Kettle.prefab","Harvest Garden","Environment","Locked"
"ENV-HOL-010","Marin's Apron on Hook","Environment","Narrative Prop","M1","Hollow Interior - Workbench Room","Long brown apron, pockets stuffed with receipts, frayed collar; predecessor seed (hides MAR-001)","#6B4A2B / #4A3220","Dim cozy; soft rim from desk lamp","LOD0 only; cloth is low-poly static","Assets/_Project/Art/Environment/Hollow/Apron_Marin.prefab","Custom","Environment","Locked"
"ENV-HOL-011","Pinned Handwritten Note","Environment","Narrative Prop","M1","Hollow Interior - Workbench Room","At eye level above bench: 'Polish in slow circles... — M.'","#F4E7CE / #7A5C3E","Dim cozy interior","LOD0 only; readable texture 1k","Assets/_Project/Art/Environment/Hollow/Note_Marin_Pinned.prefab","Custom","Environment","Locked"
"ENV-HOL-012","Permanently-Warm Teapot","Environment","Narrative Prop","M1","Hollow Interior - Workbench Room","Has not been cold in 22 years; cozy ambient + codex entry","#C9912E / #6B4A2B","Dim cozy interior","LOD0 only","Assets/_Project/Art/Environment/Hollow/Teapot_Warm.prefab","Harvest Garden","Environment","Locked"
"ENV-HOL-013","Evening Ledger Book","Environment","Functional Narrative Prop","M1","Hollow Interior - Workbench Room","Leather-bound ledger; M1 save mechanic; previous pages torn out by Marin","#6B4A2B / #F4E7CE","Desk-lamp warm","LOD0 only; opens to Bamao book UI","Assets/_Project/Art/Environment/Hollow/Ledger_Book.prefab","Custom + Bamao","Environment","Locked"
"ENV-HOL-014","Open Folklore Book","Environment","Narrative Prop","M1","Hollow Interior - Shop Room","Marin's last read; open to 'the lampman'; bookmark = pressed yellow leaf; damp thumb-print (first ghost-tone)","#F4E7CE / #B5482E","Dim cozy; window cool ambient","LOD0 only; page texture 1k","Assets/_Project/Art/Environment/Hollow/Book_Folklore_Open.prefab","Custom","Environment","Locked"
