swatch_id,name,hex,category,usage,scene_or_system,source_reference
PAL-001,Sun Amber,#FFC68A,Key Light,"Lane directional sun, intensity 1.4, 35deg elevation azimuth 230",Village Lane at Dusk,Focus 03 2.3
PAL-002,Lamp Warm,#FFE0A0,Practical Light,"Workbench desk lamp, mantel candle, window/candle glow",Hollow + Cottage,Focus 03 3.3 / 5.6
PAL-003,Hearth Orange,#FF9650,Practical Light,"Cottage hearth fire realtime point, gentle sine flicker",Widower's Cottage,Focus 03 5.6
PAL-004,Ember Orange,#E8843C,Primary Accent,"Hearthbound UI accent; warm building retint; bakery glow",Global / UI,Asset Analysis S-3
PAL-005,Amber Gold,#F2B45A,Primary Base,"Autumn master tone; orb default tint; firefly glow",Global,Worldbuilding 03
PAL-006,Ochre,#C9912E,Secondary Base,"Stone/wood retint, hay, lit windows",Global,Asset Analysis S-1
PAL-007,Parchment,#F4E7CE,UI Base,"Heat 'Hearthbound' parchment; Bamao scrolls; ledger pages",UI,Asset Analysis S-3/S-4
PAL-008,Wood Brown,#6B4A2B,Material Base,"Cottages, fences, furniture, beams",Global,Medieval Village Megapack
PAL-009,Deep Wood,#4A3220,Material Shadow,"Shadowed timber, tool-belts, deep grain",Global,Medieval Village Megapack
PAL-010,Stone Grey,#9A9187,Material Base,"Stone walls, cobble, kettle, dead-lavender grey",Global,Medieval Village Megapack
PAL-011,Leaf Red,#B5482E,Foliage Accent,"Autumn oak canopy, bushes, leaf-fall, book leather",Lane / Garden,Focus 03 2.6
PAL-012,Dusty Blue,#9DB4C0,Cool Accent,"Cottage soft-blue door; cool window ambient; comfort UI",Widower's Cottage,Focus 03 5.3
PAL-013,Cool Window,#BFD0DA,Ambient,"Daylight window fill in interiors; kettle orb silver",Hollow + Cottage,Focus 03 3.3
PAL-014,Sepia,#7A5C3E,Mood Tone,"Wedding photo, empty-chair orb, aged paper, dirt path",Cottage / Hollow,Focus 03 5.5
PAL-015,Lavender,#9B86C4,Garden Accent,"MemoryHerb Lavender (effect Calm); Margery chair fabric tint",Herb Garden,Focus 03 4.3
PAL-016,Valerian Green,#8FA66E,Garden Accent,"MemoryHerb Valerian (effect Sleep); cold-tea tint",Herb Garden,Focus 03 4.3
PAL-017,Sage Green,#7E8C5A,Foliage,"Ivy, bushes, garden foliage mid-tone",Lane / Garden,Asset Analysis A-17
PAL-018,Garden Daylight,#FFF1D6,Key Light,"Bright morning garden sun (contrast principle)",Herb Garden,Focus 03 4.4
PAL-019,Pickle Slate,#6E7378,Character,"Pickle the cat slate-grey tabby coat",Hollow,Focus 03 8.0
PAL-EMO-JOY,Emotion: Joy,#F6C66B,Emotional Palette,"Orb hum + Dream 1 JOY lens; warm gold",Memory Orbs / Dreams,Focus 05
PAL-EMO-GRIEF,Emotion: Grief,#6B7E96,Emotional Palette,"Orb hum + Dream 2 GRIEF lens; cool blue-grey",Memory Orbs / Dreams,Focus 05
PAL-EMO-GRACE,Emotion: Grace,#F6E2B3,Emotional Palette,"Warm white-gold; the kindness/being-heard tone",Memory Orbs / Dreams,Focus 05
PAL-EMO-SHAME,Emotion: Shame,#8A6A3A,Emotional Palette,"Muted ochre-brown; Gerrold's self-blame",Memory Orbs / Dreams,Focus 02
PAL-EMO-LONGING,Emotion: Longing,#8C7AA6,Emotional Palette,"Dusty violet; Doris's longing nodes",Memory Orbs / Dreams,Focus 01
PAL-EMO-WONDER,Emotion: Wonder,#EBD9A0,Emotional Palette,"Soft golden trace; the wonder of being heard (Vow 7 path)",Memory Orbs / Dreams,Focus 05
LIT-001,Dusk Warm Wayfinding,#FFC68A,Lighting Mood,"Under-lit at spawn brightening toward the warm bakery; light is the wayfinding",Village Lane at Dusk,Focus 03 2.3
LIT-002,Dim Cozy Interior,#FFE0A0,Lighting Mood,"3200K low intensity; warm pools from stove/lamp/shelf candles; restful for night eyes",Hollow Interior,Focus 03 3.3
LIT-003,Bright Morning Garden,#FFF1D6,Lighting Mood,"Straight sunlit, brightest scene; alive contrast to the dim interior",Herb Garden,Focus 03 4.4
LIT-004,Hearth-Warm Afternoon,#FF9650,Lighting Mood,"Cool window ambient cut by a warm hearth; the cottage is warm because Doris lit it",Widower's Cottage,Focus 03 5.6
LIT-005,Amber Dream Onset,#F2B45A,Lighting Mood,"Sleep transition: screen fades to amber, kettle hiss fades, dream music swells",Memory Dream transition,Focus 03 6.0
